#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.03329,          0,          0,          1, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.03709,          0,          0,          2, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.05226,          0,          0,          3, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   0.07076,          0,          0,          4, /courses/ud923/filecorpus/1kb-sample-file-4.png
   0.07649,       1648,          0,          4, (null)
   0.09051,       5744,          0,          4, (null)
   0.09058,       9840,          0,          4, (null)
   0.09063,      13184,          0,          4, (null)
   0.09539,      17280,          0,          4, (null)
   0.09547,      21376,          0,          4, (null)
   0.09549,      25472,          0,          4, (null)
   0.09550,      29568,          0,          4, (null)
   0.09551,      33664,          0,          4, (null)
   0.09553,      37760,          0,          4, (null)
   0.09554,      41856,          0,          4, (null)
   0.09556,      45952,          0,          4, (null)
   0.09566,      46144,          0,          4, (null)
   0.09574,      50240,          0,          4, (null)
   0.09608,      52736,          0,          4, (null)
   0.09632,      54384,          0,          4, (null)
   0.09640,      55208,          0,          4, (null)
   0.10079,      56032,          0,          4, (null)
   0.12406,      60128,          0,          4, (null)
   0.12417,      64224,          0,          4, (null)
   0.12426,      68320,          0,          4, (null)
   0.12436,      72416,          0,          4, (null)
   0.12439,      76512,          0,          4, (null)
   0.12448,      80608,          0,          4, (null)
   0.12456,      84704,          0,          4, (null)
   0.12461,      88800,          0,          4, (null)
   0.12472,      90640,          0,          4, (null)
   0.12503,      93112,          0,          4, (null)
   0.12506,      95584,          0,          4, (null)
   0.14145,      99680,          0,          4, (null)
   0.14154,     103776,          0,          4, (null)
   0.14195,     107872,          0,          4, (null)
   0.14199,     111968,          0,          4, (null)
   0.14200,     116064,          0,          4, (null)
   0.14202,     120160,          0,          4, (null)
   0.14207,     124256,          0,          4, (null)
   0.14212,     128352,          0,          4, (null)
   0.14224,     128544,          0,          4, (null)
   0.14232,     129368,          0,          4, (null)
   0.14489,     130192,          0,          4, (null)
   0.19250,     134288,          0,          4, (null)
   0.19264,     138384,          0,          4, (null)
   0.19267,     140080,          0,          4, (null)
   0.21697,     144176,          0,          4, (null)
   0.21706,     148272,          0,          4, (null)
   0.21708,     152368,          0,          4, (null)
   0.21709,     156464,          0,          4, (null)
   0.21711,     160560,          0,          4, (null)
   0.21712,     164656,          0,          4, (null)
   0.21713,     168752,          0,          4, (null)
   0.21715,     172848,          0,          4, (null)
   0.21719,     173864,          0,          4, (null)
   0.21721,     177960,          0,          4, (null)
   0.21723,     179632,          0,          4, (null)
   0.21726,     181280,          0,          4, (null)
   0.21729,     182104,          0,          4, (null)
   0.21731,     182928,          0,          4, (null)
   0.21935,     187024,          0,          4, (null)
   0.21946,     191120,          0,          4, (null)
   0.21951,     195216,          0,          4, (null)
   0.21956,     199312,          0,          4, (null)
   0.21959,     203408,          0,          4, (null)
   0.21963,     207504,          0,          4, (null)
   0.21966,     211600,          0,          4, (null)
   0.21970,     215696,          0,          4, (null)
   0.21979,     218360,          0,          4, (null)
   0.21985,     220008,          0,          4, (null)
   0.22042,     220832,          0,          4, (null)
   0.22046,     224928,          0,          4, (null)
   0.22049,     224952,          0,          4, (null)
   0.22051,     227424,          0,          4, (null)
   0.22055,     228248,          0,          4, (null)
   0.22056,     229072,          0,          4, (null)
   0.27358,     233168,          0,          4, (null)
   0.27383,     233174,          0,          4, (null)
   0.27533,     233174,          1,          4, /courses/ud923/filecorpus/paraglider.jpg
   0.29018,     233998,          1,          4, (null)
   0.29364,     234822,          1,          4, (null)
   0.29544,     235646,          1,          4, (null)
   0.29704,     236470,          1,          4, (null)
   0.29719,     237294,          1,          4, (null)
   0.29834,     238118,          1,          4, (null)
   0.29961,     238942,          1,          4, (null)
   0.30077,     239766,          1,          4, (null)
   0.30233,     240590,          1,          4, (null)
   0.30332,     241414,          1,          4, (null)
   0.31676,     242238,          1,          4, (null)
   0.31708,     243062,          1,          4, (null)
   0.31856,     243886,          1,          4, (null)
   0.32094,     244710,          1,          4, (null)
   0.32241,     245534,          1,          4, (null)
   0.32358,     246358,          1,          4, (null)
   0.36619,     250454,          1,          4, (null)
   0.36639,     254550,          1,          4, (null)
   0.36642,     258646,          1,          4, (null)
   0.36649,     262742,          1,          4, (null)
   0.36654,     265310,          1,          4, (null)
   0.41654,     269406,          1,          4, (null)
   0.41666,     273502,          1,          4, (null)
   0.41669,     277598,          1,          4, (null)
   0.41670,     281694,          1,          4, (null)
   0.41672,     285790,          1,          4, (null)
   0.41673,     289886,          1,          4, (null)
   0.41675,     293982,          1,          4, (null)
   0.41676,     294974,          1,          4, (null)
   0.47146,     299070,          1,          4, (null)
   0.47159,     303166,          1,          4, (null)
   0.47162,     307262,          1,          4, (null)
   0.47179,     308982,          1,          4, (null)
   0.47187,     311454,          1,          4, (null)
   0.47295,     312278,          1,          4, (null)
   0.47411,     313102,          1,          4, (null)
   0.51620,     317198,          1,          4, (null)
   0.51657,     321294,          1,          4, (null)
   0.51660,     325390,          1,          4, (null)
   0.51668,     329486,          1,          4, (null)
   0.51671,     330406,          1,          4, (null)
   0.56592,     334502,          1,          4, (null)
   0.56610,     338598,          1,          4, (null)
   0.56618,     342694,          1,          4, (null)
   0.56655,     346790,          1,          4, (null)
   0.56660,     350886,          1,          4, (null)
   0.56661,     354982,          1,          4, (null)
   0.56663,     359078,          1,          4, (null)
